Users,Total pulls,Pull number,MoC,PF,Female,HP,ATK,DEF,SPEED,Banner count,Legendary chance,Win percent,PHYSICAL,FIRE,ICE,LIGHTNING,WIND,QUANTUM,DESTRUCTION,HUNT,ERUDITION,HARMONY,NIHILITY,PRESERVATION
308607,20892481,83,9.5,8,1,195.36,92.4,66.0,96,1,0.5021991,0.5845325261340171,0,0,1,0,0,0,1,0,0,0,0,0
308607,20892481,90,9.5,8,1,195.36,92.4,66.0,96,1,1.0,0.5845325261340171,0,0,1,0,0,0,1,0,0,0,0,0
232638,9897473,74,9,7,1,126.72,84.48,56.1,110,1,0.06760943,0.5775708813664938,0,1,0,0,0,0,0,1,0,0,0,0
232638,9897473,75,9,7,1,126.72,84.48,56.1,110,1,0.1279701,0.5775708813664938,0,1,0,0,0,0,0,1,0,0,0,0
232638,9897473,76,9,7,1,126.72,84.48,56.1,110,1,0.18535766,0.5775708813664938,0,1,0,0,0,0,0,1,0,0,0,0
232638,9897473,77,9,7,1,126.72,84.48,56.1,110,1,0.24446513,0.5775708813664938,0,1,0,0,0,0,0,1,0,0,0,0
232638,9897473,78,9,7,1,126.72,84.48,56.1,110,1,0.30533117,0.5775708813664938,0,1,0,0,0,0,0,1,0,0,0,0
232638,9897473,79,9,7,1,126.72,84.48,56.1,110,1,0.36063668,0.5775708813664938,0,1,0,0,0,0,0,1,0,0,0,0
232638,9897473,80,9,7,1,126.72,84.48,56.1,110,1,0.4253554,0.5775708813664938,0,1,0,0,0,0,0,1,0,0,0,0
232638,9897473,81,9,7,1,126.72,84.48,56.1,110,1,0.46730125,0.5775708813664938,0,1,0,0,0,0,0,1,0,0,0,0
232638,9897473,82,9,7,1,126.72,84.48,56.1,110,1,0.5194827,0.5775708813664938,0,1,0,0,0,0,0,1,0,0,0,0
